BẢNG 1: DÒNG 8-UN (8 TPI - Bước ren $P = 3.175\text{ mm}$)
Ứng dụng chính: Dầu khí, hóa chất, mặt bích đường ống áp lực cao và van công nghiệp.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
"2""-12 12-UN",2.117,48.68,50.800,50.50÷50.64
"2-1/4""-12 12-UN",2.117,55.03,57.150,56.85÷56.99
"2-1/2""-12 12-UN",2.117,61.38,63.500,63.20÷63.34
"2-3/4""-12 12-UN",2.117,67.73,69.850,69.55÷69.69
"3""-12 12-UN",2.117,74.08,76.200,75.90÷76.04

BẢNG 3: DÒNG 16-UN (16 TPI - Bước ren $P = 1.588\text{ mm}$)
Ứng dụng chính: Chi tiết vách mỏng, đai ốc hãm, vòng điều chỉnh cơ khí.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
"3/8""-16 16-UN",1.588,7.94,9.525,9.28÷9.39
"7/16""-16 16-UN",1.588,9.52,11.112,10.86÷10.97
"1/2""-16 16-UN",1.588,11.11,12.700,12.45÷12.56
"9/16""-16 16-UN",1.588,12.70,14.288,14.04÷14.15
"5/8""-16 16-UN",1.588,14.29,15.875,15.62÷15.73
"11/16""-16 16-UN",1.588,15.87,17.462,17.21÷17.32
"3/4""-16 16-UN",1.588,17.46,19.050,18.81÷18.92
"13/16""-16 16-UN",1.588,19.05,20.638,20.39÷20.50
"7/8""-16 16-UN",1.588,20.64,22.225,21.98÷22.09
"1""-16 16-UN",1.588,23.81,25.400,25.16÷25.27
"1-1/8""-16 16-UN",1.588,26.99,28.575,28.33÷28.44
"1-1/4""-16 16-UN",1.588,30.16,31.750,31.51÷31.62
"1-3/8""-16 16-UN",1.588,33.34,34.925,34.68÷34.79
"1-1/2""-16 16-UN",1.588,36.51,38.100,37.86÷37.97
"1-3/4""-16 16-UN",1.588,42.86,44.450,44.21÷44.32
"2""-16 16-UN",1.588,49.21,50.800,50.56÷50.67
"2-1/4""-16 16-UN",1.588,55.56,57.150,56.91÷57.02
"2-1/2""-16 16-UN",1.588,61.91,63.500,63.26÷63.37

BẢNG 4: DÒNG REN BƯỚC LỚN CỐ ĐỊNH (4-UN & 6-UN)
Ứng dụng chính: Trục và bu-lông cỡ rất lớn ($1-1/2"$ đến $4"$) chịu lực nặng.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
"1-1/2""-6 6-UN",4.233,33.87,38.100,37.48÷37.75
"1-5/8""-6 6-UN",4.233,37.04,41.275,40.65÷40.92
"1-3/4""-6 6-UN",4.233,40.22,44.450,43.83÷44.10
"1-7/8""-6 6-UN",4.233,43.39,47.625,47.00÷47.27
"2""-6 6-UN",4.233,46.57,50.800,50.18÷50.45
"2-1/4""-6 6-UN",4.233,52.92,57.150,56.53÷56.80
"2-1/2""-6 6-UN",4.233,59.27,63.500,62.88÷63.15
"2-3/4""-6 6-UN",4.233,65.62,69.850,69.23÷69.50
"3""-6 6-UN",4.233,71.97,76.200,75.58÷75.85
"2-1/2""-4 4-UN",6.350,57.15,63.500,62.50÷62.85
"2-3/4""-4 4-UN",6.350,63.50,69.850,68.85÷69.20
"3""-4 4-UN",6.350,69.85,76.200,75.20÷75.55
"3-1/4""-4 4-UN",6.350,76.20,82.550,81.55÷81.90
"3-1/2""-4 4-UN",6.350,82.55,88.900,87.90÷88.25
"3-3/4""-4 4-UN",6.350,88.90,95.250,94.25÷94.60
"4""-4 4-UN",6.350,95.25,101.600,100.60÷100.95

BẢNG 5: DÒNG REN SIÊU MỊN CỐ ĐỊNH (20-UN, 28-UN, 32-UN)
Ứng dụng chính: Linh kiện chính xác, kính quang học, vỏ linh kiện điện tử vách rất mỏng.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
"1/4""-20 20-UN",1.270,5.08,6.350,6.15÷6.24
"5/16""-20 20-UN",1.270,6.67,7.938,7.74÷7.83
"3/8""-20 20-UN",1.270,8.25,9.525,9.32÷9.42
"7/16""-20 20-UN",1.270,9.84,11.112,10.92÷11.01
"1/2""-20 20-UN",1.270,11.43,12.700,12.50÷12.60
"9/16""-20 20-UN",1.270,13.02,14.288,14.08÷14.18
"5/8""-20 20-UN",1.270,14.60,15.875,15.67÷15.77
"3/4""-20 20-UN",1.270,17.78,19.050,18.84÷18.94
"7/8""-20 20-UN",1.270,20.95,22.225,22.02÷22.12
"1""-20 20-UN",1.270,24.13,25.400,25.20÷25.30
"1-1/8""-20 20-UN",1.270,27.31,28.575,28.37÷28.47
"1-1/4""-20 20-UN",1.270,30.48,31.750,31.55÷31.65
"1-1/2""-20 20-UN",1.270,36.83,38.100,37.90÷38.00
"1/4""-28 28-UN",0.907,5.44,6.350,6.21÷6.28
"5/16""-28 28-UN",0.907,7.03,7.938,7.80÷7.87
"3/8""-28 28-UN",0.907,8.62,9.525,9.39÷9.46
"7/16""-28 28-UN",0.907,10.20,11.112,10.98÷11.05
"1/2""-28 28-UN",0.907,11.79,12.700,12.57÷12.64
"5/8""-28 28-UN",0.907,14.97,15.875,15.74÷15.81
"3/4""-28 28-UN",0.907,18.14,19.050,18.91÷18.99
"1""-28 28-UN",0.907,24.49,25.400,25.26÷25.34
"1/4""-32 32-UN",0.794,5.56,6.350,6.23÷6.29
"5/16""-32 32-UN",0.794,7.14,7.938,7.82÷7.88
"3/8""-32 32-UN",0.794,8.73,9.525,9.40÷9.47
"7/16""-32 32-UN",0.794,10.32,11.112,10.99÷11.06
"1/2""-32 32-UN",0.794,11.91,12.700,12.58÷12.65
"5/8""-32 32-UN",0.794,15.08,15.875,15.75÷15.82
"3/4""-32 32-UN",0.794,18.26,19.050,18.92÷19.00
"1""-32 32-UN",0.794,24.61,25.400,25.27÷25.35
