BẢNG 1: BẢNG TRA REN MÉT THÔ (Coarse Pitch)
Công thức gia công:Đường kính mũi khoan taro: $d_k \approx d - P$Đường kính phôi tiện ren ngoài thực tế: $d_{thực\ tế} \approx d - (0.08 \div 0.1) \cdot P$

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
#4-48 UNF,0.529,2.40,2.845,2.74÷2.79
#5-44 UNF,0.577,2.70,3.175,3.06÷3.11
#6-40 UNF,0.635,2.95,3.505,3.38÷3.44
#8-36 UNF,0.706,3.50,4.166,4.03÷4.10
#10-32 UNF,0.794,4.10,4.826,4.68÷4.75
#12-28 UNF,0.907,4.60,5.486,5.34÷5.41
"1/4""-28 UNF",0.907,5.50,6.350,6.21÷6.28
"5/16""-24 UNF",1.058,6.90,7.938,7.78÷7.86
"3/8""-24 UNF",1.058,8.50,9.525,9.37÷9.45
"7/16""-20 UNF",1.270,9.90,11.112,10.92÷11.01
"1/2""-20 UNF",1.270,11.50,12.700,12.50÷12.60
"9/16""-18 UNF",1.411,12.90,14.288,14.07÷14.17
"5/8""-18 UNF",1.411,14.50,15.875,15.66÷15.76
"3/4""-16 UNF",1.588,17.50,19.050,18.81÷18.92
"7/8""-14 UNF",1.814,20.40,22.225,21.96÷22.08
"1""-12 UNF",2.117,23.25,25.400,25.10÷25.24
"1-1/8""-12 UNF",2.117,26.50,28.575,28.27÷28.41
"1-1/4""-12 UNF",2.117,29.50,31.750,31.45÷31.59
"1-3/8""-12 UNF",2.117,32.75,34.925,34.62÷34.76
"1-1/2""-12 UNF",2.117,36.00,38.100,37.80÷37.94

BẢNG 3: TẤT CẢ CÁC KÍCH THƯỚC REN MỸ RẤT MỊN (UNEF - Extra Fine)

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm)
#12-32 UNEF,0.794,4.70,5.486,5.38÷5.43
"1/4""-32 UNEF",0.794,5.55,6.350,6.24÷6.29
"5/16""-32 UNEF",0.794,7.15,7.938,7.83÷7.88
"3/8""-32 UNEF",0.794,8.70,9.525,9.42÷9.47
"7/16""-28 UNEF",0.907,10.20,11.112,10.98÷11.04
"1/2""-28 UNEF",0.907,11.80,12.700,12.57÷12.63
"9/16""-24 UNEF",1.058,13.20,14.288,14.13÷14.20
"5/8""-24 UNEF",1.058,14.80,15.875,15.72÷15.79
"11/16""-24 UNEF",1.058,16.40,17.462,17.31÷17.38
"3/4""-20 UNEF",1.270,17.80,19.050,18.88÷18.96
"13/16""-20 UNEF",1.270,19.40,20.638,20.47÷20.55
"7/8""-20 UNEF",1.270,21.00,22.225,22.06÷22.14
"15/16""-20 UNEF",1.270,22.60,23.812,23.65÷23.73
"1""-20 UNEF",1.270,24.10,25.400,25.23÷25.31
"1-1/8""-18 UNEF",1.411,27.20,28.575,28.37÷28.46
"1-1/4""-18 UNEF",1.411,30.30,31.750,31.55÷31.64
"1-3/8""-18 UNEF",1.411,33.50,34.925,34.72÷34.81
"1-1/2""-18 UNEF",1.411,36.70,38.100,37.90÷37.99
