BẢNG 1: BẢNG TRA REN UNR SERIES (UNRC & UNRF - Ren ngoài đáy bo tròn)
Đặc tính: Ren ngoài có bán kính đáy bo tròn $R = 0.10825P \div 0.14434P$ giúp triệt tiêu tập trung ứng suất, chống nứt mỏi khi cán ren (rolled thread). Lắp ghép hoàn hảo với đai ốc tiêu chuẩn UNC/UNF.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm),Bán kính bo đáy ren ngoài R (mm)
"9/16""-20 UNS",1.270,13.10,14.288,14.08÷14.18,Phụ tùng xe đạp/xe máy cao cấp
"9/16""-27 UNS",0.941,13.40,14.288,14.14÷14.22,Thiết bị điện khí nén
"5/8""-14 UNS",1.814,14.10,15.875,15.61÷15.73,Van an toàn bình áp lực
"5/8""-20 UNS",1.270,14.70,15.875,15.67÷15.77,Cảm biến lưu lượng
"5/8""-27 UNS",0.941,15.00,15.875,15.72÷15.80,Chuẩn chân cắm Micro âm thanh quốc tế
"3/4""-12 UNS",2.117,17.00,19.050,18.78÷18.90,Khớp nối trục truyền động
"3/4""-18 UNS",1.411,17.70,19.050,18.83÷18.93,Ống nối cáp điện công nghiệp
"3/4""-27 UNS",0.941,18.20,19.050,18.90÷18.98,"Linh kiện viễn thông, van thủy lực"
"7/8""-18 UNS",1.411,20.90,22.225,22.01÷22.11,"Bơm cao áp, khớp nối ống"
"7/8""-27 UNS",0.941,21.40,22.225,22.07÷22.15,"Vỏ cảm biến công nghiệp, y tế"
"1""-14 UNS",1.814,23.60,25.400,25.12÷25.26,Chuẩn ren chân Ăng-ten hàng hải (VHF Marine)
"1""-18 UNS",1.411,24.00,25.400,25.18÷25.28,Đầu nối điện chịu lực cao
"1""-27 UNS",0.941,24.50,25.400,25.25÷25.33,Vỏ ống nhôm vách mỏng
"1-1/8""-18 UNS",1.411,27.20,28.575,28.36÷28.46,Đai ốc hãm ổ trục
"1-1/4""-18 UNS",1.411,30.40,31.750,31.53÷31.63,Vòng hãm máy công cụ
"1-1/2""-18 UNS",1.411,36.70,38.100,37.88÷37.98,"Thiết bị chân không, vỏ xi-lanh"
"2""-16 UNS",1.588,49.20,50.800,50.56÷50.67,"Nắp bình áp lực, vòng hãm lớn"
