BẢNG 1: BẢNG TRA DÒNG REN HÀNG KHÔNG VŨ TRỤ (UNJ Series - UNJC, UNJF, UNJEF)
Đặc tính kỹ thuật (MIL-S-8879 / AS8879):
Bán kính bo đáy ren ngoài bắt buộc lớn hơn tiêu chuẩn thông thường: $R = 0.1501P \div 0.1804P$.
Triệt tiêu góc sắn đáy ren, giúp bu-lông chống nứt mỏi động cơ học khi chịu tải nặng và rung động trong động cơ máy bay, tên lửa, tàu vũ trụ.
Đai ốc UNJ (ren trong) được mở rộng đường kính đáy $D_1$ để lắp vừa bu-lông UNJ.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính lỗ taro đai ốc UNJ dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm),Bán kính bo đáy ren ngoài UNJ R (mm)
"1/4""-28 UNJF",0.907,5.60,6.350,6.21÷6.28,0.136÷0.164
"5/16""-24 UNJF",1.058,7.00,7.938,7.78÷7.86,0.159÷0.191
"3/8""-24 UNJF",1.058,8.60,9.525,9.37÷9.45,0.159÷0.191
"7/16""-20 UNJF",1.270,10.00,11.112,10.92÷11.01,0.191÷0.229
"1/2""-20 UNJF",1.270,11.60,12.700,12.50÷12.60,0.191÷0.229
"9/16""-18 UNJF",1.411,13.00,14.288,14.07÷14.17,0.212÷0.255
"5/8""-18 UNJF",1.411,14.60,15.875,15.66÷15.76,0.212÷0.255
"3/4""-16 UNJF",1.588,17.60,19.050,18.81÷18.92,0.238÷0.286
"7/8""-14 UNJF",1.814,20.55,22.225,21.96÷22.08,0.272÷0.327
"1""-12 UNJF",2.117,23.40,25.400,25.10÷25.24,0.318÷0.382
"1-1/8""-12 UNJF",2.117,26.60,28.575,28.27÷28.41,0.318÷0.382
"1-1/4""-12 UNJF",2.117,29.80,31.750,31.45÷31.59,0.318÷0.382
"1-1/2""-12 UNJF",2.117,36.15,38.100,37.80÷37.94,0.318÷0.382
#12-32 UNJEF,0.794,4.80,5.486,5.38÷5.43,0.119÷0.143
"1/4""-32 UNJEF",0.794,5.65,6.350,6.24÷6.29,0.119÷0.143
"5/16""-32 UNJEF",0.794,7.25,7.938,7.83÷7.88,0.119÷0.143
"3/8""-32 UNJEF",0.794,8.80,9.525,9.42÷9.47,0.119÷0.143
"7/16""-28 UNJEF",0.907,10.30,11.112,10.98÷11.04,0.136÷0.164
"1/2""-28 UNJEF",0.907,11.90,12.700,12.57÷12.63,0.136÷0.164
"9/16""-24 UNJEF",1.058,13.35,14.288,14.13÷14.20,0.159÷0.191
"5/8""-24 UNJEF",1.058,14.95,15.875,15.72÷15.79,0.159÷0.191
"3/4""-20 UNJEF",1.270,17.95,19.050,18.88÷18.96,0.191÷0.229
"7/8""-20 UNJEF",1.270,21.15,22.225,22.06÷22.14,0.191÷0.229
"1""-20 UNJEF",1.270,24.25,25.400,25.23÷25.31,0.191÷0.229

BẢNG 2: BẢNG TRA REN UNS SERIES (Unified Special Threads - Chuẩn ANSI/ASME B1.1)
Đặc tính: Tổ hợp đường kính danh nghĩa và bước ren đặc biệt ngoài các bảng tiêu chuẩn UNC/UNF/UNEF, phục vụ các thiết bị chuyên dụng.

Kích thước danh nghĩa,Bước ren P (mm),Đường kính mũi khoan taro dk (mm),Đường kính đỉnh danh nghĩa d (mm),Đường kính đỉnh thực tế gia công dthực tế (mm),Phạm vi / Lĩnh vực ứng dụng thực tế
"1/4""-24 UNS",1.058,5.30,6.350,6.18÷6.26,"Khóa cơ khí, thiết bị cầm tay"
"1/4""-36 UNS",0.706,5.70,6.350,6.22÷6.29,Đầu nối cáp RF / SMA Connector
"1/4""-40 UNS",0.635,5.80,6.350,6.24÷6.29,"Kính hiển vi, thiết bị đo trắc địa"
"1/4""-48 UNS",0.529,5.90,6.350,6.25÷6.30,"Vi chỉnh quang học, ống kính máy ảnh"
"5/16""-18 UNS",1.411,6.60,7.938,7.72÷7.82,Trục phụ tùng xe máy / ô tô Mỹ
"5/16""-36 UNS",0.706,7.30,7.938,7.81÷7.88,"Linh kiện bán dẫn, khí tài đo"
"3/8""-20 UNS",1.270,8.30,9.525,9.32÷9.42,Van điều áp khí công nghiệp
"3/8""-27 UNS",0.941,8.60,9.525,9.38÷9.45,Chân đế Micro âm thanh Châu Âu
"3/8""-36 UNS",0.706,8.90,9.525,9.40÷9.47,"Vỏ cảm biến, thiết bị y tế"
"7/16""-18 UNS",1.411,9.80,11.112,10.90÷11.00,Đầu nối thủy lực áp suất cao
"7/16""-24 UNS",1.058,10.10,11.112,10.93÷11.01,"Vỏ lọc dầu, phụ tùng xe"
"1/2""-14 UNS",1.814,11.00,12.700,12.44÷12.56,Khớp nối ống khí/thủy lực đặc biệt
"1/2""-18 UNS",1.411,11.40,12.700,12.48÷12.58,"Vỏ thiết bị điện, công tắc hành trình"
"1/2""-24 UNS",1.058,11.70,12.700,12.52÷12.60,"Linh kiện súng thể thao, quang học"
"1/2""-36 UNS",0.706,12.00,12.700,12.58÷12.64,"Ống nhôm mỏng, thiết bị định vị"
"9/16""-20 UNS",1.270,13.10,14.288,14.08÷14.18,Phụ tùng xe đạp/xe máy cao cấp
"9/16""-27 UNS",0.941,13.40,14.288,14.14÷14.22,Thiết bị điện khí nén
"5/8""-14 UNS",1.814,14.10,15.875,15.61÷15.73,Van an toàn bình áp lực
"5/8""-20 UNS",1.270,14.70,15.875,15.67÷15.77,Cảm biến lưu lượng
"5/8""-27 UNS",0.941,15.00,15.875,15.72÷15.80,Chuẩn chân cắm Micro âm thanh quốc tế
"3/4""-12 UNS",2.117,17.00,19.050,18.78÷18.90,Khớp nối trục truyền động
"3/4""-18 UNS",1.411,17.70,19.050,18.83÷18.93,Ống nối cáp điện công nghiệp
"3/4""-27 UNS",0.941,18.20,19.050,18.90÷18.98,"Linh kiện viễn thông, van thủy lực"
"7/8""-18 UNS",1.411,20.90,22.225,22.01÷22.11,"Bơm cao áp, khớp nối ống"
"7/8""-27 UNS",0.941,21.40,22.225,22.07÷22.15,"Vỏ cảm biến công nghiệp, y tế"
"1""-14 UNS",1.814,23.60,25.400,25.12÷25.26,Chuẩn ren chân Ăng-ten hàng hải (VHF Marine)
"1""-18 UNS",1.411,24.00,25.400,25.18÷25.28,Đầu nối điện chịu lực cao
"1""-27 UNS",0.941,24.50,25.400,25.25÷25.33,Vỏ ống nhôm vách mỏng
"1-1/8""-18 UNS",1.411,27.20,28.575,28.36÷28.46,Đai ốc hãm ổ trục
"1-1/4""-18 UNS",1.411,30.40,31.750,31.53÷31.63,Vòng hãm máy công cụ
"1-1/2""-18 UNS",1.411,36.70,38.100,37.88÷37.98,"Thiết bị chân không, vỏ xi-lanh"
"2""-16 UNS",1.588,49.20,50.800,50.56÷50.67,"Nắp bình áp lực, vòng hãm lớn"
